5時,14伊,34伊,53伊,
6時,06,14,22伊,30,39,51,
7時,02,10,22秦,30,40,50伊,
8時,01,13,23,34大,44,53,
9時,04伊,14,25,33,45,53,1
0時,04,13,24,32,43,52,
11時,03,13,23,32,43,52,
12時,03,12,23,32,43,52,
13時,03,12,23,32,43,52,
14時,03,12,23,32,43,52,
15時,03,12,23,32,43,52,
16時,03,12,23,33,43,52,
17時,03,12,23,33,44,54,
18時,04,14,24,32伊,34,44,52大,54,
19時,04,14,24,32伊,34,44,52大,54,
20時,04,14,24伊,32,34,44,54,
21時,04,14,24伊,32,34,44伊,53,
22時,04,13大,23,33伊,43,57,
23時,09唐,18,27,37,50唐,
0時,03唐,15唐,28唐,42百,53百,

5時,14伊,34伊,53伊,
6時,06,21,30,39,51,
7時,01,11,20,31,43,53伊,
8時,03,12,23,32,45,52,
9時,03伊,18,23,33,43,52,
10時,03,18,23,32,43,53,
11時,03,12,23,32,43,52,
12時,03,12伊,23,32,43,52,
13時,03伊,12,23,32,43,52,
14時,03,12,23伊,32,43,52,
15時,03,12,23伊,32,43,52,
16時,03,14,24伊,33,44,53伊,
17時,04,13,24,33伊,44,53,
18時,04,13,24,33,44,53,
19時,04,13,25,32伊,43,53,
20時,03伊,13,23,33伊,43伊,53,
21時,03,12,23,33,43,53,
22時,04秦,12大,23伊,33,43,57,
23時,09唐,18,27,47,
0時,03唐,15唐,28唐,42百,53百,
